Intrinsics Name,Args ,Comments
GenISA_uitof_rtz,,
,float,result
,int,input
GenISA_floatatomicraw,,
,anyfloat,
,anyptr,Dst Buffer
,int,dst address
,0,src0
,int,"Instruction type (add, or, xor etc)"
GenISA_uitof_rtp,,
,float,result
,int,input
GenISA_DCL_HSControlPointID,,
,int,output
GenISA_DCL_HSinputVec,,
,float4,input reg (generated by this intrin)
,int,Vertex Idx
,int,Attribute Idx
GenISA_OUTPUTGS2,,
,void,
,float,x
,float,y
,float,z
,float,w
,float,x2
,float,y2
,float,z2
,float,w2
,int,type
,int,idx_mask
,int,emitCount
GenISA_discard,,
,void,
,bool,condition
GenISA_uitof_rtn,,
,float,result
,int,input
GenISA_flushsampler,,
,void,
GenISA_sampleDC,,
,anyvector,result
,anyfloat,coordinates ref
,1,coordinates u
,1,gradient du from dx
,1,gradient du from dy 
,1,coordinates v
,1,gradient dv from dx
,1,gradient dv from dy
,1,coordinates r
,1,gradient dr from dx
,1,gradient dr from dy
,1,coordinates ai
,int,texture index
,int,sampler
,int,immediate offset u
,int,immediate offset v
,int,immediate offset w
GenISA_icmpxchgatomicraw,,
,anyint,
,anyptr,Dst Buffer
,int,dst address
,0,src0
,0,src1
GenISA_resinfo,,
,int4,result
,int,resource index
,int,miplevel
,bool,isUAV
GenISA_simdMediaRegionCopy,,
,void,
,int,destination
,int,destination byte offset
,int,destination hstride 
,int,destination num elements
,int,source
,int,source byte offset
,int,source vertical stride 
,int,source width
,int,source hstride
,int,type size (for dst and src)
,int,execution size 
,int,source num elemtns
GenISA_ibfe,,
,int,result
,int,src0
,int,src1
,int,src2
,void,
,anyvector,
GenISA_PullSnappedBarys,,
,float2,
,int,x offset
,int,y offset
,bool,perspective
GenISA_storeraw_indexed,,
,void,
,anyptr,dst buffer
,int,byte offset in buffer 
,anyfloat,value to be stored
,int,required alignment
GenISA_GetPixelMask,,get live pixel mask from dmask
,bool,
,bool,
GenISA_patchInstanceId,,
,int,result
GenISA_sampleptr,,
,anyvector,result
,anyfloat,coordinates u
,1,coordinates v
,1,coordinates r
,1,coordinates ai
,1,minlod
,anyptr,resource
,anyptr,sampler
,int,immediate offset u
,int,immediate offset v
,int,immediate offset w
GenISA_setMessagePhase_legacy,,
,void,
,int,curr message phase
,int,id of messagephase
,int,message phase value
GenISA_ldms,,
,anyvector,result
,int,sampleindex
,int,mcsl
,int,mcsh
,int,coordinates x
,int,coordinates y
,int,coordinates z
,int,lod
,int,texture index
,int,immediate offset u
,int,immediate offset v
,int,immediate offset w
GenISA_GradientX,,
,anyfloat,result
,0,coordinates x
GenISA_GradientY,,
,anyfloat,result
,0,coordinates y
GenISA_GetBufferPtr,,
,anyptr,result
,int,Resource index
,int,"Resource Type (CB, UAV etc)"
GenISA_extractMVAndSAD,,
,void,result
,int,Min MV loaded into from result
,int,Min SAD loaded into from result
,int,result from IME 
,int,MB block type
GenISA_imulH,,
,anyint,result
,0,source0
,0,source1
GenISA_HSURBPatchHeaderRead,,
,float8,result
GenISA_ldui,,
,int4,result
,int,coordinates x 
,int,coordinates y
,int,lod
,int,coordinates z
,int,texture index
,int,immediate offset u
,int,immediate offset v
,int,immediate offset w
GenISA_movcr,,"returns the specified sub register of the control register ""PREDEFINED_CR0"""
,int,result
,int,sub reg <0-3>
GenISA_vaConvolveGRF_16x1,,"New 2D convolve function w/o using SLM, 16x1 version"
,short,result
,float2,coordinates
,int,src image bti
,int,sampler (accelerator) id
GenISA_vaConvolveGRF_16x4,,"New 2D convolve function w/o using SLM, 16x4 version"
,short4,result
,float2,coordinates
,int,src image bti
,int,sampler (accelerator) id
GenISA_ldmcsptr,,
,anyvector,result
,int,coordinates x
,int,coordinates y
,int,coordinates z
,int,lod
,anyptr,resource 
,int,immediate offset u
,int,immediate offset v
,int,immediate offset w
GenISA_StackAlloca,,
,ptr_private,result
,int,offset
GenISA_simdLaneId,,
,short,result
GenISA_atomiccounterinc,,
,int,dst0 Contains the returned counter value
,anyptr,Structured Buffer UaV with Count or Append flag
GenISA_vmeSendIME2,,
,anyvector,result
,anyvector,header input
,int,src image bti
,int,fwd ref image bti
,int,bwd ref image bti
,int,stream mode
GenISA_atomiccounterpredec,,
,int,dst0 Contains the returned counter value
,anyptr,Structured Buffer UAV with Count or Append flag
GenISA_usubb,,
,anyvector,result0
,anyint,source0
,1,source1
GenISA_subslice_id,,"returns the subslice id that is defined in the state register ""PREDEFINED_SR0"""
,int,result
GenISA_ptrcast,,Replace `addrspacecast` to avoid issues in LLVM
,anyptr,
,anyptr,
GenISA_InitDiscardMask,,
,bool,
GenISA_sampleDCptr,,
,anyvector,result
,anyfloat,coordinates ref
,1,coordinates u
,1,gradient du from dx
,1,gradient du from dy
,1,coordinates v 
,1,gradient dv from dx
,1,gradient dv from dy
,1,coordinates r
,1,gradient dr form dx
,1,gradient dr form dy
,1,coordinates ai
,anyptr,resource 
,anyptr,sampler
,int,immediate offset u
,int,immediate offset v
,int,immediate offset w
GenISA_gather4PO,,
,anyvector,result
,anyfloat,coordinates u
,1,coordinates v 
,int,coordinates offu
,int,coordinates offv
,1,coordinates r
,int,texture index
,int,sampler
,int,immediate offset u
,int,immediate offset v
,int,immediate offset w
,int,src channel select
GenISA_sample,,
,anyvector,result
,anyfloat,coordinates u
,1,coordinates v 
,1,coordinates r
,1,coordinates ai
,1,minlod
,int,texture index
,int,sampler
,int,immediate offset u
,int,immediate offset v
,int,immediate offset w
GenISA_sampleKillPix,,
,anyvector,result
,anyfloat,coordinates u
,1,coordinates v 
,1,coordinates r
,int,texture index
,int,sampler
,int,immediate offset u
,int,immediate offset v
,int,immediate offset w
GenISA_fsat,,
,anyfloat,result
,0,source
GenISA_typedwrite,,
,void,
,anyptr,Dst Buffer to write to
,int,coordinates u
,int,coordinates v
,int,coordinates r
,int,LOD
,float,x
,float,y
,float,z
,float,w (4 elements since uav_typed will always write 4 destinations)
GenISA_simdShuffleDown,,
,anyint,result
,0,curr
,0,next
,int,offset
GenISA_createMessagePhasesNoInit,,
,int,result
,int,num message phases to allocate (no init)
GenISA_readsurfaceinfoptr,,
,int16,"result : base address, width, Height, Depth, Mip count, Surface type, surface format, reserved"
,anyptr,source buffer
,int,miplevel
GenISA_ldmsptr16bit,,
,anyvector,result
,short,sampleindex
,short,mcs0
,short,mcs1
,short,mcs2
,short,mcs3
,short,coordinates x
,short,coordinates y
,short,coordinates z
,short,lod
,anyptr,resource
,int,immediate offset u
,int,immediate offset v
,int,immediate offset w
GenISA_sub_pair,,
,int,
,int,
,int,
,int,
,int,
,int,
GenISA_simdSize,,
,int,result
GenISA_PHASE_OUTPUT,,
,void,
,float,source x
,int,index
GenISA_sampleBptr,,
,anyvector,result
,anyfloat,bias
,1,coordinates u
,1,coordinates v
,1,coordinates r
,1,coordinates ai
,1,minlod
,anyptr,resource
,anyptr,sampler
,int,immediate offset u
,int,immediate offset v
,int,immediate offset w
GenISA_getMessagePhaseXV,,
,anyint,result
,anyvector,message phases reference 
,int,id of message phase
,int,id of DW of the message phase
GenISA_EndPrimitive,,
,void,
,int,emitCount
GenISA_floatatomicstructured,,
,float,
,anyptr,Dst Buffer
,int,array index
,int,byte offset in structure
,float,src0
,int,"Instruction type (add, or, xor etc)"
GenISA_ldraw_indexed,,
,float,result0
,anyptr,src buffer
,int,byte offset in buffer 
GenISA_rsq,,
,anyfloat,result
,0,source
GenISA_sampleinfoptr,,
,int4,result
,anyptr,source buffer
GenISA_ldmsptr,,
,anyvector,result
,int,sampleindex
,int,mcsl
,int,mcsh
,int,coordinates x
,int,coordinates y
,int,coordinates z
,int,lod
,anyptr,resource
,int,immediate offset u
,int,immediate offset v
,int,immediate offset w
GenISA_getMessagePhase,,
,int,result
,int,message phase
,int,id of message phase
GenISA_GsStreamHeader,,
,void,
,int,DWORD 1
,int,DWORD 2
,int,DWORD 3
,int,DWORD 4
,int,DWORD 5
,int,DWORD 6
,int,DWORD 7
,int,DWORD 8
,int,DWORD 9
,int,DWORD 10
,int,DWORD 11
,int,DWORD 12
,int,DWORD 13
,int,DWORD 14
,int,DWORD 15
,int,DWORD 16
,int,DWORD 17
,int,DWORD 18
,int,DWORD 19
,int,DWORD 20
,int,DWORD 21
,int,DWORD 22
,int,DWORD 23
,int,DWORD 24
,int,DWORD 25
,int,DWORD 26
,int,DWORD 27
,int,DWORD 28
,int,DWORD 29
,int,DWORD 30
,int,DWORD 31
,int,DWORD 32
,int,DWORD 33
,int,DWORD 34
,int,DWORD 35
,int,DWORD 36
,int,DWORD 37
,int,DWORD 38
,int,DWORD 39
,int,DWORD 40
,int,DWORD 41
